id,source,url,author,published_at,title,text,text_clean,lang_guess,tag_unpad,meta
x_1985951458903384310,x,https://x.com/i/web/status/1985951458903384310,1211530195938594817,2025-11-05T06:04:59.000Z,,"1.8 gw ud dapet tier 3 center di JIS, ud dpt yellow be the sun di ice bsd, ud dpt redmi pad 2 nambah 100rb, ud dpt adidas gazelle, ud dpt jalan2 karimun jawa 3d2n all in masih dpt kembalian. INI CMN DPT RESTRICTED VIEW ANJ IMEKKKK",dapet tier center jis dpt yellow the sun ice bsd dpt redmi pad nambah 100rb dpt adidas gazelle dpt jalan2 karimun jawa 3d2n all masih dpt kembali cmn dpt restricted view anj imekk,id,False,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}"
x_1985951384622285136,x,https://x.com/i/web/status/1985951384622285136,1709412923230035968,2025-11-05T06:04:41.000Z,,@zeptocares 2 times order karne par 1 bar cancel kar Diya jata hai fir bad me jab 1 ghante bad product deliver hota hai usme wrong product or short qty recieve hoti hai kya ye hai zepto ki service ab refund ke liye bar bar call or chat par bat karni pad rahi hai lekin nhi ho raha https://t.co/tjZxJhU5Rx,times order karne par bar cancel kar diya jata hai fir bad jab ghante bad product deliver hota hai usme wrong product short qty recieve hot hai kya hai zepto service refund liye bar bar call chat par bat karni pad rahi hai lekin nhi raha,id,False,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 2}"
x_1985951220876644840,x,https://x.com/i/web/status/1985951220876644840,1232283385944592389,2025-11-05T06:04:02.000Z,,@SussyJoe_08 @kuritikamu Kalau gasalah pad tuh tinggal beli pen nya aja dah,kalau gasalah pad tuh tinggal beli pen nya dah,id,False,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}"
x_1985951166904353009,x,https://x.com/i/web/status/1985951166904353009,1774830678133325824,2025-11-05T06:03:50.000Z,,"Uang Negara Puluhan Milyar Buat Pesta Pora acara acara gak penting, korup, dan tidak berdampak apa apa buat masyarakat maupun PAD. 
Boros, Korup, Tidak Kreatif dan PEKOK. 
KPK jangan kayak kebo dungu, karena Kejaksaannya sudah diracun kecubung... 
@KPK_RI
@KejaksaanRI
@prabowo https://t.co/LcPq4WyKNb",uang negara puluh milyar buat pesta pora acara acara penting korup dampak apa apa buat masyarakat maupun pad boros korup kreatif kok kpk jangan kayak kebo dungu jaksa racun kecubung,id,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
x_1985950247080902685,x,https://x.com/i/web/status/1985950247080902685,1877681997264654336,2025-11-05T06:00:10.000Z,,"Siapa bilang tablet 2 jutaan nggak bisa dapet banyak bonus? 😎

Di Moto Pad 60 Neo, kamu bisa dapetin benefit total senilai 1,6 juta lho!

Mulai dari:
- Free 6 bulan Vidio subscription
- Folio Case *Selama persediaan masih ada
- Preload apps WPS Office, Nebo, dan MyScript https://t.co/Z5IMxhFd4Q",siapa bilang tablet juta dapet banyak bonus moto pad neo dapetin benefit total nila juta lho mulai free bulan vidio subscription folio case lama sedia masih preload apps wps office nebo myscript,id,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 7, 'quote_count': 0}"
x_1985949672935211120,x,https://x.com/i/web/status/1985949672935211120,1161552255230849024,2025-11-05T05:57:53.000Z,,@SupriyaShrinate @RahulGandhi Hydrogen bomb ya fir pad diya🤣🤣🤣🤣🤣,hydrogen bomb fir pad diya,id,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
x_1985948589361938461,x,https://x.com/i/web/status/1985948589361938461,1577104931458539526,2025-11-05T05:53:35.000Z,,knpp kampus lain gaa nyontek baju toga Unpad jg yaa biarr modelnya bagus dan cakep cakep 😭😔 https://t.co/0bA8JWBkQN,knpp kampus lain gaa nyontek baju toga unpad yaa biarr model bagus cakep cakep,id,True,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}"
x_1985948555299946780,x,https://x.com/i/web/status/1985948555299946780,1810681860386922496,2025-11-05T05:53:27.000Z,,"unpad jangan pernah ubah desain ini plis, tunggu sampe gw wisuda https://t.co/J2PYjbYwsV",unpad jangan pernah ubah desain plis tunggu sampe wisuda,id,True,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
x_1985948302186336358,x,https://x.com/i/web/status/1985948302186336358,1657151635112730624,2025-11-05T05:52:27.000Z,,"Joki toefl kampus ELPT UNAIR, UNPAD, POLTEKKES, CILAD UNISSULA, SEU UNDIP, NUADU, DLL bisa banget ya konsultasiin ajaa ke aku, ready 24/7 siap bantu kalian! https://t.co/YK4CiUwIvM

#jokitoefl #zonauang #jokitugas #jokitpa",joki toefl kampus elpt unair unpad poltekkes cilad unissula seu undip nuadu dll banget konsultasiin ajaa aku ready siap bantu kalian,id,True,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
x_1985947621878354424,x,https://x.com/i/web/status/1985947621878354424,1734036638605733888,2025-11-05T05:49:44.000Z,,pad! info tukang pijit di nangor wajib cewe dan bisa dipanggil ke kostan dong :(( drop kisaran harga jugaa,pad info tukang pijit nangor wajib cewe panggil kostan dong drop kisar harga jugaa,id,False,"{'retweet_count': 1, 'reply_count': 5, 'like_count': 4, 'quote_count': 0}"
